ID do Produto;Nome do Produto;Categoria;Quantidade Vendida;Data da Venda;Região de Venda;Pais; Preço Unitrio ;Desconto (%); Valor Total de vendas ;Valor de desconto; Receita Total 
06332c97-cd25-4006-9ca9-cf72cff00206;Year;Livros;26;23/11/2023;Leste;Brasil;R$ 99,53;4,39;R$ 2.587,78;R$ 113,60;R$ 2.474,18
6129a462-2cb2-48d1-8632-cc785bb497fe;Quality;Livros;15;11/03/2023;Leste;Brasil;R$ 18,31;19,3;R$ 274,65;R$ 53,01;R$ 221,64
c1140a58-2a84-4e3c-bd99-da23957683c0;Page;Livros;40;28/02/2024;Norte;Brasil;R$ 111,94;3,53;R$ 4.477,60;R$ 158,06;R$ 4.319,54
56225e05-37aa-4613-972f-e3ad734963d1;Force;Livros;48;16/12/2023;Leste;Brasil;R$ 52,25;19,43;R$ 2.508,00;R$ 487,30;R$ 2.020,70
801bf376-25a9-451c-8627-ae3699219123;Hour;Eletronicos;6;16/02/2023;Centro;Brasil;R$ 190,25;10,75;R$ 1.141,50;R$ 122,71;R$ 1.018,79
6bacea4e-e22a-4799-b11e-16a4b2585886;Glass;Móveis;46;29/01/2023;Centro;Brasil;R$ 32,35;19,58;R$ 1.488,10;R$ 291,37;R$ 1.196,73
9ea6fa0c-2d78-4a59-a775-7c11624d005e;Drug;Roupas;38;01/07/2024;Sul;Brasil;R$ 164,98;15,56;R$ 6.269,24;R$ 975,49;R$ 5.293,75
f679923c-0489-4777-80c7-0b8357d62c6a;Stop;Eletronicos;7;06/06/2024;Oeste;Brasil;R$ 169,10;15,61;R$ 1.183,70;R$ 184,78;R$ 998,92
1d2936be-402f-4e99-9440-bda88abda6d3;News;Livros;38;29/08/2024;Oeste;Brasil;R$ 38,26;2,13;R$ 1.453,88;R$ 30,97;R$ 1.422,91
7266b25f-19b6-4a44-a6f6-9df5c38b9e9a;Meet;Livros;22;03/12/2023;Sul;Brasil;R$ 8,52;14,92;R$ 187,44;R$ 27,97;R$ 159,47
26d37a81-6109-4cd2-90c9-175fc2242297;Include;Eletronicos;18;23/09/2023;Centro;Brasil;R$ 24,60;7,64;R$ 442,80;R$ 33,83;R$ 408,97
059e2107-e734-47c0-8dbd-8adbd1b9aa1f;Enjoy;Móveis;5;03/04/2023;Centro;Brasil;R$ 62,36;13,08;R$ 311,80;R$ 40,78;R$ 271,02
37b83d87-3198-406f-9c84-50dd599d3be8;Year;Móveis;37;26/11/2022;Centro;Brasil;R$ 109,26;17,4;R$ 4.042,62;R$ 703,42;R$ 3.339,20
583b7942-6ebe-489a-a558-e4a1b01e911b;Machine;Alimentos;34;03/03/2024;Oeste;Brasil;R$ 81,22;12,69;R$ 2.761,48;R$ 350,43;R$ 2.411,05
ed0cfe75-8d0f-4648-a69c-2d16302ccc0a;Pressure;Alimentos;31;05/12/2023;Leste;Brasil;R$ 20,13;11,02;R$ 624,03;R$ 68,77;R$ 555,26
965f9061-57b8-4c6a-aa42-d3741d377964;Suffer;Alimentos;28;07/06/2024;Oeste;Brasil;R$ 153,90;16,34;R$ 4.309,20;R$ 704,12;R$ 3.605,08
1ccfbb0c-a903-422a-b9c6-12d170a3f972;People;Livros;14;09/05/2023;Sul;Brasil;R$ 137,09;4,41;R$ 1.919,26;R$ 84,64;R$ 1.834,62
b08e3320-99de-4a25-acf7-441f060cb7bf;Up;Eletronicos;23;07/05/2023;Leste;Brasil;R$ 34,93;5,38;R$ 803,39;R$ 43,22;R$ 760,17
c3e20a8e-d6c3-48a6-bd84-17e431f14967;Everybody;Eletronicos;5;13/06/2024;Norte;Brasil;R$ 74,83;11,63;R$ 374,15;R$ 43,51;R$ 330,64
